date,team,rank,points,source,retrieved_at
2018-05-17,FYR Macedonia,77,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2018-05-17,Faroe Islands,93,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Faroe Islands,133,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Faroe Islands,123,1136.59,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Fiji,167,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Fiji,168,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Fiji,155,1024.17,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Finland,62,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Finland,61,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Finland,75,1341.92,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2010-05-26,France,9,1044.0,snapshot:fifa_2010-05-26.csv,2026-06-22T22:06:16.733133+00:00
2014-05-08,France,16,935.0,snapshot:fifa_2014-05-08.csv,2026-06-22T22:06:16.766522+00:00
2016-06-02,France,17,925.0,snapshot:fifa_2016-06-02.csv,2026-06-22T22:06:16.782449+00:00
2018-05-17,France,7,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2019-07-25,France,3,1718.0,snapshot:fifa_2019-07-25.csv,2026-06-22T22:06:16.830433+00:00
2022-10-06,France,4,1759.78,snapshot:fifa_2022-10-06.csv,2026-06-22T22:06:16.846448+00:00
2024-04-04,France,2,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,France,3,1870.7,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Gabon,90,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Gabon,84,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Gabon,86,1272.51,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Gambia,175,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Gambia,130,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2018-05-17,Georgia,95,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Georgia,75,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Georgia,72,1355.26,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2010-05-26,Germany,6,1082.0,snapshot:fifa_2010-05-26.csv,2026-06-22T22:06:16.733133+00:00
2014-05-08,Germany,2,1340.0,snapshot:fifa_2014-05-08.csv,2026-06-22T22:06:16.766522+00:00
2016-06-02,Germany,4,1310.0,snapshot:fifa_2016-06-02.csv,2026-06-22T22:06:16.782449+00:00
2018-05-17,Germany,1,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2019-07-25,Germany,15,1582.0,snapshot:fifa_2019-07-25.csv,2026-06-22T22:06:16.830433+00:00
2022-10-06,Germany,11,1650.21,snapshot:fifa_2022-10-06.csv,2026-06-22T22:06:16.846448+00:00
