
rank,team,points
1,Brazil,1611
2,Spain,1565
3,Portugal,1249
4,Netherlands,1231
5,Italy,1184
6,Germany,1082
7,Argentina,1076
8,England,1068
9,France,1044
10,Croatia,1041
11,Russia,1015
12,Egypt,967
13,Greece,964
14,United States,957
15,Serbia,947
16,Uruguay,899
17,Mexico,895
18,Chile,888
19,Cameroon,887
20,Australia,886
21,Nigeria,883
22,Norway,882
23,Ukraine,875
24,Switzerland,866
25,Slovenia,860
26,Israel,857
27,Ivory Coast,856
28,Romania,853
29,Turkey,830
30,Algeria,821
