
rank,team,points
1,Belgium,1746
2,Brazil,1726
3,France,1718
4,England,1652
5,Uruguay,1637
6,Portugal,1631
7,Croatia,1625
8,Colombia,1622
9,Spain,1617
10,Argentina,1610
11,Switzerland,1605
12,Mexico,1604
13,Denmark,1589
14,Chile,1583
15,Germany,1582
16,Italy,1569
16,Netherlands,1569
18,Sweden,1558
19,Peru,1552
20,Senegal,1550
20,Poland,1550
22,United States,1548
23,Iran,1518
24,Wales,1514
25,Ukraine,1513
26,Venezuela,1505
27,Austria,1498
28,Romania,1497
29,Tunisia,1496
29,Northern Ireland,1496
