
rank,team,points
1,Argentina,1503
2,Belgium,1384
3,Colombia,1328
4,Germany,1310
5,Chile,1293
6,Spain,1267
7,Brazil,1257
8,Portugal,1181
9,Uruguay,1150
10,Austria,1077
11,England,1069
12,Italy,982
13,Ecuador,978
14,Netherlands,959
15,Switzerland,948
16,Mexico,942
17,France,925
18,Turkey,919
19,Ukraine,894
20,Bosnia and Herzegovina,886
20,Hungary,886
22,Romania,878
23,Costa Rica,853
24,Slovakia,852
25,Northern Ireland,851
26,Wales,846
27,Croatia,842
27,Poland,842
29,Russia,828
30,Czechia,815
