
rank,team,points
1,Spain,1460
2,Germany,1340
3,Portugal,1245
4,Brazil,1210
5,Colombia,1186
6,Uruguay,1181
7,Argentina,1178
8,Switzerland,1161
9,Italy,1115
10,Greece,1082
11,England,1043
12,Belgium,1039
13,Chile,1037
14,United States,1015
15,Netherlands,967
16,France,935
17,Ukraine,913
18,Russia,903
19,Mexico,877
20,Croatia,871
21,Ivory Coast,830
22,Scotland,825
23,Denmark,819
24,Egypt,798
25,Algeria,795
26,Sweden,795
27,Bosnia and Herzegovina,795
28,Ecuador,794
29,Slovenia,787
30,Serbia,759
