date,home_team,away_team,home_odds,draw_odds,away_odds,bookmaker,source,updated_at,api_provider,api_fixture_id,raw_home_team,raw_away_team,raw_payload_file
2026-06-27,Cape Verde,Saudi Arabia,2.393275862068965,3.4246551724137944,2.9277586206896573,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,e07b1926be5a4d515c7eb108dbcee9c5,Cape Verde,Saudi Arabia,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-27,Uruguay,Spain,7.051724137931034,4.185172413793104,1.4913793103448274,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,dcff2e31c0bce001a4db5caaf4fa8822,Uruguay,Spain,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-27,New Zealand,Belgium,14.75396551724138,7.094310344827588,1.1908620689655174,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,581691da05dcd75b5c6d3be91ee9d2ab,New Zealand,Belgium,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-27,Egypt,Iran,2.4265517241379326,2.670172413793104,3.776034482758621,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,3e3b5fa2b3c963e74cf044c60db0b573,Egypt,Iran,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-27,Croatia,Ghana,1.744791666666666,3.344374999999999,5.361249999999999,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,537c0997cd899394f47f16545b7068b2,Croatia,Ghana,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-27,Panama,England,14.532916666666665,7.641875000000002,1.1702083333333333,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,4be17c8e1ccfecb0f2a5ef79e045c415,Panama,England,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-27,Colombia,Portugal,3.8649999999999993,3.5989130434782606,1.9243478260869564,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,67ae5751c401a98409b8566ae4897069,Colombia,Portugal,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-27,DR Congo,Uzbekistan,1.8578260869565213,3.7826086956521725,3.9202173913043468,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,13eab94a136b9c264ba974cf437a5f71,DR Congo,Uzbekistan,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-28,Algeria,Austria,3.7914545454545445,2.30090909090909,2.793090909090909,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,8756200e539155e571557c4f2e0d7f05,Algeria,Austria,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-28,Jordan,Argentina,14.629137931034483,6.936379310344828,1.1962068965517245,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,54697f453437ab26276d773be1d72e9b,Jordan,Argentina,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
