fixture_id,date,home_team,away_team,home_odds,draw_odds,away_odds,bookmaker,source,updated_at,api_provider
1489381,2026-06-17,Argentina,Algeria,1.4828571428571429,4.228571428571429,7.242857142857143,api_football_average,api_football:/odds,2026-06-24T00:37:35+00:00,api_football
1489382,2026-06-17,Austria,Jordan,1.3857142857142855,4.807142857142858,8.310714285714285,api_football_average,api_football:/odds,2026-06-24T00:37:35+00:00,api_football
1489383,2026-06-16,France,Senegal,1.4685714285714286,4.467142857142856,6.911428571428571,api_football_average,api_football:/odds,2026-06-24T00:37:35+00:00,api_football
1489384,2026-06-17,England,Croatia,1.7035714285714287,3.7014285714285715,5.1692857142857145,api_football_average,api_football:/odds,2026-06-24T00:37:35+00:00,api_football
1489385,2026-06-17,Ghana,Panama,2.317857142857143,3.2028571428571437,3.2785714285714285,api_football_average,api_football:/odds,2026-06-24T00:37:35+00:00,api_football
1489386,2026-06-18,Uzbekistan,Colombia,8.89642857142857,4.572857142857143,1.3892857142857142,api_football_average,api_football:/odds,2026-06-24T00:37:35+00:00,api_football
1489387,2026-06-18,Canada,Qatar,1.307857142857143,5.376428571428571,10.157142857142857,api_football_average,api_football:/odds,2026-06-24T00:37:35+00:00,api_football
1489388,2026-06-19,Mexico,South Korea,2.039285714285714,3.257857142857143,3.9657142857142857,api_football_average,api_football:/odds,2026-06-24T00:37:35+00:00,api_football
1489389,2026-06-20,Brazil,Haiti,1.1014285714285714,10.346428571428572,22.75,api_football_average,api_football:/odds,2026-06-24T00:37:35+00:00,api_football
1489390,2026-06-19,Scotland,Morocco,5.667142857142856,3.5814285714285714,1.6964285714285712,api_football_average,api_football:/odds,2026-06-24T00:37:35+00:00,api_football
