simulation_id,stage,match_slot,team_a,team_b,winner,loser
97,round_of_32,86,Portugal,Ghana,Portugal,Ghana
97,round_of_32,87,Austria,Spain,Spain,Austria
97,round_of_32,88,Australia,New Zealand,Australia,New Zealand
97,round_of_16,89,Switzerland,Morocco,Morocco,Switzerland
97,round_of_16,90,Germany,Norway,Norway,Germany
97,round_of_16,91,Ivory Coast,France,France,Ivory Coast
97,round_of_16,92,Brazil,Mexico,Brazil,Mexico
97,round_of_16,93,Cape Verde,England,Cape Verde,England
97,round_of_16,94,Colombia,Canada,Colombia,Canada
97,round_of_16,95,Argentina,Spain,Argentina,Spain
97,round_of_16,96,Portugal,Australia,Australia,Portugal
97,quarterfinal,97,Morocco,Norway,Morocco,Norway
97,quarterfinal,98,Cape Verde,Colombia,Colombia,Cape Verde
97,quarterfinal,99,France,Brazil,Brazil,France
97,quarterfinal,100,Argentina,Australia,Argentina,Australia
97,semifinal,101,Morocco,Colombia,Morocco,Colombia
97,semifinal,102,Brazil,Argentina,Argentina,Brazil
97,final,104,Morocco,Argentina,Argentina,Morocco
97,third_place,103,Colombia,Brazil,Colombia,Brazil
98,round_of_32,73,South Korea,Switzerland,South Korea,Switzerland
98,round_of_32,74,Germany,Qatar,Germany,Qatar
98,round_of_32,75,Morocco,Japan,Japan,Morocco
98,round_of_32,76,Netherlands,Scotland,Scotland,Netherlands
98,round_of_32,77,Norway,Brazil,Brazil,Norway
98,round_of_32,78,Mexico,Sweden,Mexico,Sweden
98,round_of_32,79,Ivory Coast,France,France,Ivory Coast
98,round_of_32,80,United States,Senegal,Senegal,United States
98,round_of_32,81,Egypt,Austria,Egypt,Austria
98,round_of_32,82,England,Uzbekistan,Uzbekistan,England
98,round_of_32,83,Portugal,Croatia,Croatia,Portugal
98,round_of_32,84,Canada,Ghana,Canada,Ghana
98,round_of_32,85,Spain,Algeria,Algeria,Spain
98,round_of_32,86,Colombia,Turkey,Colombia,Turkey
98,round_of_32,87,Argentina,Saudi Arabia,Argentina,Saudi Arabia
98,round_of_32,88,Australia,Belgium,Australia,Belgium
98,round_of_16,89,South Korea,Japan,Japan,South Korea
98,round_of_16,90,Germany,Brazil,Brazil,Germany
98,round_of_16,91,France,Senegal,France,Senegal
98,round_of_16,92,Scotland,Mexico,Mexico,Scotland
98,round_of_16,93,Egypt,Uzbekistan,Egypt,Uzbekistan
98,round_of_16,94,Croatia,Canada,Croatia,Canada
98,round_of_16,95,Algeria,Argentina,Argentina,Algeria
98,round_of_16,96,Colombia,Australia,Colombia,Australia
98,quarterfinal,97,Japan,Brazil,Brazil,Japan
98,quarterfinal,98,Egypt,Croatia,Croatia,Egypt
98,quarterfinal,99,France,Mexico,France,Mexico
98,quarterfinal,100,Argentina,Colombia,Argentina,Colombia
98,semifinal,101,Brazil,Croatia,Croatia,Brazil
98,semifinal,102,France,Argentina,France,Argentina
98,final,104,Croatia,France,Croatia,France
98,third_place,103,Brazil,Argentina,Argentina,Brazil
99,round_of_32,73,South Africa,Canada,Canada,South Africa
99,round_of_32,74,Germany,South Korea,South Korea,Germany
99,round_of_32,75,Morocco,Netherlands,Netherlands,Morocco
99,round_of_32,76,Japan,Brazil,Brazil,Japan
99,round_of_32,77,France,Scotland,France,Scotland
99,round_of_32,78,Mexico,Sweden,Mexico,Sweden
99,round_of_32,79,Ivory Coast,Senegal,Ivory Coast,Senegal
99,round_of_32,80,United States,Bosnia and Herzegovina,United States,Bosnia and Herzegovina
99,round_of_32,81,Egypt,Norway,Norway,Egypt
99,round_of_32,82,Ghana,Algeria,Ghana,Algeria
99,round_of_32,83,Colombia,Panama,Panama,Colombia
99,round_of_32,84,Switzerland,DR Congo,Switzerland,DR Congo
99,round_of_32,85,Spain,Austria,Spain,Austria
99,round_of_32,86,Portugal,England,England,Portugal
99,round_of_32,87,Argentina,Cape Verde,Cape Verde,Argentina
99,round_of_32,88,Australia,Belgium,Belgium,Australia
99,round_of_16,89,Canada,Netherlands,Netherlands,Canada
99,round_of_16,90,South Korea,France,France,South Korea
99,round_of_16,91,Ivory Coast,United States,United States,Ivory Coast
99,round_of_16,92,Brazil,Mexico,Mexico,Brazil
99,round_of_16,93,Norway,Ghana,Norway,Ghana
99,round_of_16,94,Panama,Switzerland,Switzerland,Panama
99,round_of_16,95,Spain,Cape Verde,Spain,Cape Verde
99,round_of_16,96,England,Belgium,Belgium,England
99,quarterfinal,97,Netherlands,France,France,Netherlands
99,quarterfinal,98,Norway,Switzerland,Switzerland,Norway
99,quarterfinal,99,United States,Mexico,Mexico,United States
99,quarterfinal,100,Spain,Belgium,Spain,Belgium
99,semifinal,101,France,Switzerland,France,Switzerland
99,semifinal,102,Mexico,Spain,Mexico,Spain
99,final,104,France,Mexico,Mexico,France
99,third_place,103,Switzerland,Spain,Spain,Switzerland
