stage,team_a,team_b,matchup_count,matchup_probability,team_a_wins,team_b_wins,team_a_win_probability,team_b_win_probability,n_sims
round_of_32,Ivory Coast,Senegal,9266,0.09266,3733,5533,0.40287071012303044,0.5971292898769696,100000
round_of_32,Jordan,Spain,9207,0.09207,1066,8141,0.1157814706201803,0.8842185293798197,100000
round_of_32,Ghana,Uzbekistan,9112,0.09112,2964,6148,0.32528533801580334,0.6747146619841967,100000
round_of_32,Canada,Egypt,8775,0.08775,4867,3908,0.5546438746438747,0.44535612535612534,100000
round_of_32,Iraq,United States,8674,0.08674,2322,6352,0.26769656444546924,0.7323034355545308,100000
round_of_32,Curaçao,Mexico,8671,0.08671,973,7698,0.1122131242071272,0.8877868757928727,100000
round_of_32,Panama,Portugal,8455,0.08455,2172,6283,0.25688941454760494,0.7431105854523951,100000
round_of_32,Cape Verde,Egypt,8429,0.08429,2834,5595,0.33622019219361726,0.6637798078063827,100000
round_of_32,Curaçao,France,8143,0.08143,494,7649,0.06066560235785337,0.9393343976421467,100000
round_of_32,Iran,Switzerland,8122,0.08122,3762,4360,0.46318640728884514,0.5368135927111549,100000
round_of_32,Brazil,France,7996,0.07996,3398,4598,0.4249624812406203,0.5750375187593797,100000
round_of_32,Canada,South Africa,7922,0.07922,5586,2336,0.7051249684423125,0.29487503155768746,100000
round_of_32,Brazil,Norway,7914,0.07914,5701,2213,0.7203689663886783,0.2796310336113217,100000
round_of_32,Japan,United States,7847,0.07847,4653,3194,0.5929654645087294,0.40703453549127055,100000
round_of_32,England,Jordan,7687,0.07687,6470,1217,0.8416807597242097,0.1583192402757903,100000
round_of_32,Curaçao,Norway,7658,0.07658,1428,6230,0.18647166361974407,0.8135283363802559,100000
round_of_32,Algeria,England,7607,0.07607,1842,5765,0.24214539240173524,0.7578546075982647,100000
round_of_32,Germany,Scotland,7556,0.07556,5772,1784,0.7638962413975648,0.23610375860243515,100000
round_of_32,Austria,Saudi Arabia,7449,0.07449,5421,2028,0.7277486910994765,0.27225130890052357,100000
round_of_32,Czechia,Switzerland,7135,0.07135,2445,4690,0.34267694463910303,0.657323055360897,100000
round_of_32,New Zealand,Paraguay,7067,0.07067,2537,4530,0.3589925003537569,0.6410074996462432,100000
round_of_32,Australia,Iran,6867,0.06867,3764,3103,0.5481287316149701,0.45187126838502983,100000
round_of_32,Egypt,Senegal,6744,0.06744,2724,4020,0.40391459074733094,0.5960854092526691,100000
round_of_32,Belgium,Canada,6584,0.06584,3980,2604,0.6044957472660997,0.3955042527339004,100000
round_of_32,Austria,England,6546,0.06546,1843,4703,0.2815459822792545,0.7184540177207455,100000
round_of_32,Germany,South Africa,6269,0.06269,5322,947,0.8489392247567396,0.15106077524326048,100000
round_of_32,Australia,Colombia,6139,0.06139,2231,3908,0.3634142368463919,0.636585763153608,100000
round_of_32,Norway,United States,5831,0.05831,2614,3217,0.44829360315554795,0.5517063968444521,100000
round_of_32,Croatia,Uzbekistan,5827,0.05827,3977,1850,0.6825124420799725,0.3174875579200275,100000
round_of_32,DR Congo,Panama,5804,0.05804,2300,3504,0.39627842866988283,0.6037215713301172,100000
round_of_32,Egypt,Saudi Arabia,5758,0.05758,3607,2151,0.6264327891629038,0.3735672108370962,100000
round_of_32,Egypt,Spain,5699,0.05699,794,4905,0.13932268819091068,0.8606773118090894,100000
round_of_32,France,Morocco,5441,0.05441,3803,1638,0.6989523984561662,0.30104760154383386,100000
round_of_32,Egypt,Switzerland,5409,0.05409,2110,3299,0.3900905897578111,0.6099094102421889,100000
round_of_32,Morocco,Norway,5331,0.05331,3249,2082,0.6094541361845808,0.3905458638154192,100000
round_of_32,France,Paraguay,5313,0.05313,4350,963,0.818746470920384,0.18125352907961603,100000
round_of_32,Ecuador,France,5261,0.05261,1569,3692,0.29823227523284546,0.7017677247671545,100000
round_of_32,Norway,Paraguay,5219,0.05219,2819,2400,0.5401417896148687,0.45985821038513125,100000
round_of_32,Iraq,Ivory Coast,5107,0.05107,1865,3242,0.36518504014098296,0.634814959859017,100000
round_of_32,Egypt,Paraguay,5102,0.05102,2425,2677,0.4753038024304194,0.5246961975695805,100000
round_of_32,Ecuador,Norway,4905,0.04905,2948,1957,0.6010193679918451,0.3989806320081549,100000
round_of_32,Iran,Uruguay,4734,0.04734,1949,2785,0.4117025771018166,0.5882974228981833,100000
round_of_32,Mexico,Switzerland,4682,0.04682,2768,1914,0.5912003417343016,0.4087996582656984,100000
round_of_32,Scotland,Sweden,4658,0.04658,2269,2389,0.487118935165307,0.512881064834693,100000
round_of_32,France,United States,4490,0.0449,3399,1091,0.7570155902004454,0.24298440979955457,100000
round_of_32,Canada,Czechia,4470,0.0447,2682,1788,0.6,0.4,100000
round_of_32,Egypt,Jordan,4422,0.04422,2580,1842,0.5834464043419267,0.41655359565807326,100000
round_of_32,Canada,Ghana,4262,0.04262,3142,1120,0.7372125762552793,0.2627874237447208,100000
round_of_32,Algeria,Uruguay,4215,0.04215,1689,2526,0.400711743772242,0.599288256227758,100000
round_of_32,Algeria,Egypt,4192,0.04192,2339,1853,0.5579675572519084,0.4420324427480916,100000
round_of_32,Canada,New Zealand,4187,0.04187,2802,1385,0.6692142345354669,0.3307857654645331,100000
round_of_32,Colombia,Turkey,4116,0.04116,2626,1490,0.6379980563654033,0.3620019436345967,100000
round_of_32,Egypt,Iraq,4098,0.04098,2601,1497,0.6346998535871157,0.36530014641288433,100000
round_of_32,Belgium,Switzerland,4080,0.0408,2221,1859,0.5443627450980392,0.4556372549019608,100000
round_of_32,Canada,Croatia,3999,0.03999,1527,2472,0.3818454613653413,0.6181545386346586,100000
round_of_32,Paraguay,Portugal,3876,0.03876,1074,2802,0.2770897832817337,0.7229102167182663,100000
round_of_32,Colombia,Portugal,3731,0.03731,1790,1941,0.4797641383007237,0.5202358616992764,100000
round_of_32,England,Senegal,3705,0.03705,2671,1034,0.7209176788124156,0.27908232118758436,100000
round_of_32,Colombia,DR Congo,3602,0.03602,2328,1274,0.6463076068850638,0.35369239311493617,100000
round_of_32,Austria,Egypt,3567,0.03567,2146,1421,0.6016260162601627,0.3983739837398374,100000
round_of_32,Cape Verde,Iran,3276,0.03276,894,2382,0.27289377289377287,0.7271062271062271,100000
round_of_32,Panama,Uzbekistan,3201,0.03201,1692,1509,0.528584817244611,0.47141518275538896,100000
round_of_32,Iran,Paraguay,3148,0.03148,1793,1355,0.5695679796696315,0.4304320203303685,100000
round_of_32,Jordan,Uruguay,3083,0.03083,857,2226,0.27797599740512485,0.7220240025948751,100000
round_of_32,Argentina,England,2866,0.02866,1762,1104,0.6147941381716678,0.38520586182833216,100000
round_of_32,Canada,Mexico,2852,0.02852,1002,1850,0.35133239831697055,0.6486676016830295,100000
round_of_32,Canada,Sweden,2843,0.02843,1556,1287,0.5473091804431938,0.4526908195568062,100000
round_of_32,Curaçao,Senegal,2830,0.0283,498,2332,0.17597173144876324,0.8240282685512368,100000
round_of_32,Colombia,Uzbekistan,2829,0.02829,1826,1003,0.6454577589254153,0.35454224107458465,100000
round_of_32,Australia,Norway,2819,0.02819,1581,1238,0.5608371763036538,0.43916282369634624,100000
round_of_32,Canada,Panama,2810,0.0281,1541,1269,0.5483985765124555,0.4516014234875445,100000
round_of_32,Egypt,Norway,2796,0.02796,1197,1599,0.4281115879828326,0.5718884120171673,100000
round_of_32,Australia,France,2764,0.02764,635,2129,0.229739507959479,0.7702604920405209,100000
round_of_32,Ghana,Switzerland,2723,0.02723,555,2168,0.20381931692985678,0.7961806830701432,100000
round_of_32,France,Sweden,2704,0.02704,2271,433,0.8398668639053254,0.16013313609467456,100000
round_of_32,Canada,Paraguay,2675,0.02675,1423,1252,0.53196261682243,0.4680373831775701,100000
round_of_32,Norway,Sweden,2619,0.02619,1556,1063,0.5941198930889653,0.40588010691103477,100000
round_of_32,Jordan,United States,2555,0.02555,816,1739,0.3193737769080235,0.6806262230919765,100000
round_of_32,Algeria,United States,2536,0.02536,1125,1411,0.4436119873817035,0.5563880126182965,100000
round_of_32,Iran,Senegal,2530,0.0253,1210,1320,0.4782608695652174,0.5217391304347826,100000
round_of_32,New Zealand,Switzerland,2512,0.02512,714,1798,0.28423566878980894,0.7157643312101911,100000
round_of_32,South Korea,Sweden,2499,0.02499,1492,1007,0.5970388155262105,0.40296118447378954,100000
round_of_32,Brazil,Germany,2471,0.02471,1325,1146,0.5362201537838932,0.46377984621610685,100000
round_of_32,Iran,Jordan,2457,0.02457,1604,853,0.6528286528286529,0.3471713471713472,100000
round_of_32,Algeria,Iran,2443,0.02443,1194,1249,0.48874334834220223,0.5112566516577978,100000
round_of_32,Iran,Saudi Arabia,2406,0.02406,1726,680,0.7173732335827099,0.2826267664172901,100000
round_of_32,Ghana,Jordan,2394,0.02394,861,1533,0.35964912280701755,0.6403508771929824,100000
round_of_32,Croatia,Switzerland,2315,0.02315,1265,1050,0.5464362850971922,0.4535637149028078,100000
round_of_32,Iran,Spain,2289,0.02289,426,1863,0.18610747051114024,0.8138925294888598,100000
round_of_32,Algeria,Ghana,2273,0.02273,1702,571,0.7487901451825781,0.2512098548174219,100000
round_of_32,Australia,Portugal,2208,0.02208,780,1428,0.3532608695652174,0.6467391304347826,100000
round_of_32,Austria,United States,2206,0.02206,1096,1110,0.4968268359020852,0.5031731640979148,100000
round_of_32,DR Congo,Portugal,2204,0.02204,879,1325,0.3988203266787659,0.6011796733212341,100000
round_of_32,Egypt,France,2159,0.02159,394,1765,0.1824918943955535,0.8175081056044465,100000
round_of_32,England,Iraq,2136,0.02136,1867,269,0.8740636704119851,0.12593632958801498,100000
round_of_32,Austria,Iran,2035,0.02035,1058,977,0.5199017199017198,0.4800982800982801,100000
round_of_32,Austria,Ghana,1963,0.01963,1571,392,0.8003056546102904,0.19969434538970962,100000
round_of_32,DR Congo,Paraguay,1895,0.01895,751,1144,0.39630606860158313,0.6036939313984169,100000
round_of_32,Ecuador,Senegal,1796,0.01796,1035,761,0.5762806236080178,0.4237193763919822,100000
round_of_32,Canada,DR Congo,1794,0.01794,1162,632,0.6477146042363434,0.35228539576365664,100000
round_of_32,Sweden,Switzerland,1779,0.01779,671,1108,0.37717818999437885,0.6228218100056211,100000
round_of_32,Norway,Turkey,1737,0.01737,803,934,0.46229130685089237,0.5377086931491076,100000
round_of_32,Paraguay,Switzerland,1716,0.01716,707,1009,0.412004662004662,0.587995337995338,100000
round_of_32,Panama,Switzerland,1709,0.01709,687,1022,0.40198946752486836,0.5980105324751317,100000
round_of_32,France,Turkey,1701,0.01701,1282,419,0.7536743092298648,0.24632569077013522,100000
round_of_32,Germany,Morocco,1666,0.01666,946,720,0.5678271308523409,0.43217286914765907,100000
round_of_32,England,Norway,1660,0.0166,1254,406,0.755421686746988,0.24457831325301205,100000
round_of_32,Egypt,England,1640,0.0164,328,1312,0.2,0.8,100000
round_of_32,Canada,Portugal,1585,0.01585,498,1087,0.3141955835962145,0.6858044164037855,100000
round_of_32,Curaçao,Iraq,1572,0.01572,548,1024,0.3486005089058524,0.6513994910941476,100000
round_of_32,Argentina,Egypt,1521,0.01521,1319,202,0.8671926364234056,0.13280736357659434,100000
round_of_32,England,Ghana,1489,0.01489,1012,477,0.6796507723304231,0.3203492276695769,100000
round_of_32,Portugal,Uzbekistan,1481,0.01481,950,531,0.6414584740040513,0.3585415259959487,100000
round_of_32,Portugal,Turkey,1449,0.01449,934,515,0.6445824706694272,0.3554175293305728,100000
round_of_32,Mexico,Netherlands,1425,0.01425,636,789,0.4463157894736842,0.5536842105263158,100000
round_of_32,Ecuador,South Korea,1422,0.01422,856,566,0.6019690576652602,0.3980309423347398,100000
round_of_32,Mexico,Uruguay,1395,0.01395,764,631,0.5476702508960574,0.45232974910394264,100000
round_of_32,Australia,Canada,1358,0.01358,760,598,0.5596465390279823,0.44035346097201766,100000
round_of_32,Cape Verde,Jordan,1356,0.01356,564,792,0.415929203539823,0.584070796460177,100000
round_of_32,Iran,Iraq,1337,0.01337,947,390,0.7083021690351533,0.2916978309648467,100000
round_of_32,Algeria,Cape Verde,1331,0.01331,981,350,0.7370398196844478,0.26296018031555224,100000
round_of_32,Iran,Norway,1242,0.01242,603,639,0.4855072463768116,0.5144927536231884,100000
