segment_name,segment_value,n_matches,official_log_loss,bookmaker_log_loss,mean_log_loss_delta,ci_lower,ci_upper,statistically_meaningful,official_brier,bookmaker_brier,brier_delta,official_rps,bookmaker_rps,rps_delta,official_accuracy,bookmaker_accuracy,interpretation
official_confidence_bucket,0.60-0.70,37,0.90966136087327,0.791301273580699,0.11836008729257069,0.03831214596413755,0.2132095084147024,False,0.5249351191781798,0.4600333330415996,0.06490178613658022,0.18484311887943425,0.15176757921530004,0.03307553966413424,0.6486486486486487,0.6486486486486487,strong_bookmaker_advantage
favorite_won_status,favorite_won,104,0.6683204482597566,0.5727956044712885,0.09552484378846798,0.0594274975401203,0.13511383294939494,False,0.3629441563249272,0.2948475066245918,0.06809664970033538,0.15007867238923958,0.11691362586446598,0.0331650465247736,0.8269230769230769,1.0,strong_bookmaker_advantage
bookmaker_confidence_bucket,0.00-0.40,32,1.2014462091854605,1.116358108744932,0.08508810044052864,-0.03524631022401862,0.20488648762351544,False,0.7288037815150982,0.6786377740498459,0.05016600746525218,0.26590612261858365,0.2437945729617798,0.02211154965680377,0.34375,0.28125,bookmaker_better_mean_ci_crosses_zero
close_match_probability_bucket,very_close_<=0.40,32,1.2014462091854605,1.116358108744932,0.08508810044052864,-0.03524631022401862,0.20488648762351544,False,0.7288037815150982,0.6786377740498459,0.05016600746525218,0.26590612261858365,0.2437945729617798,0.02211154965680377,0.34375,0.28125,bookmaker_better_mean_ci_crosses_zero
tournament_year,2022,63,1.087985881287023,1.0106515071917455,0.07733437409527713,-0.001766055579225063,0.15556756791566878,False,0.640952939495712,0.5917997441675273,0.04915319532818455,0.23334884220283308,0.21038473944708233,0.02296410275575081,0.47619047619047616,0.5238095238095238,bookmaker_better_mean_ci_crosses_zero
prediction_agreement,different_prediction,34,1.0939513452247582,1.0253621463213654,0.06858919890339278,-0.0588459848596017,0.18585050163663078,False,0.6639590751214781,0.6133452284600276,0.050613846661450586,0.24835326733822166,0.2275875843557487,0.02076568298247297,0.29411764705882354,0.5294117647058824,bookmaker_better_mean_ci_crosses_zero
stage,round_of_16,23,0.853336163693866,0.7876861604337456,0.06565000326012058,-0.0008913292317982021,0.13114870706114518,False,0.49200034451227836,0.45378834505745563,0.03821199945482268,0.15263235366684416,0.1358567484871312,0.016775605179713007,0.6086956521739131,0.6521739130434783,bookmaker_better_mean_ci_crosses_zero
actual_result_type,draw,40,1.3992480752553933,1.3379223202651873,0.06132575499020583,-0.012959428786472339,0.1326047439445984,False,0.8928257672280147,0.8764747271931373,0.016351040034877258,0.16572989105631736,0.1679923662327465,-0.0022624751764291507,0.05,0.0,bookmaker_better_mean_ci_crosses_zero
bookmaker_confidence_bucket,0.70-1.00,27,0.8139927485619597,0.7544619020980329,0.059530846463926715,-0.04651907771479459,0.16153715869402194,False,0.44682108845262547,0.4073984659921757,0.03942262246044973,0.16243518664053513,0.14434289768009348,0.01809228896044167,0.7407407407407407,0.7407407407407407,bookmaker_better_mean_ci_crosses_zero
close_match_probability_bucket,heavy_>0.70,27,0.8139927485619597,0.7544619020980329,0.059530846463926715,-0.04651907771479459,0.16153715869402194,False,0.44682108845262547,0.4073984659921757,0.03942262246044973,0.16243518664053513,0.14434289768009348,0.01809228896044167,0.7407407407407407,0.7407407407407407,bookmaker_better_mean_ci_crosses_zero
official_confidence_bucket,0.40-0.50,66,1.0838304289718537,1.0262309828449392,0.05759944612691439,-0.007528982368753484,0.12678488299913504,False,0.6544969330193148,0.6153208670102673,0.039176066009047265,0.23768643132429546,0.22105241236899986,0.016634018955295576,0.3939393939393939,0.5,bookmaker_better_mean_ci_crosses_zero
actual_result_type,home,81,0.8172293677373558,0.7676345475559097,0.049594820181446155,-0.009705833219701405,0.10453927818058344,False,0.4623144547147472,0.421338500666688,0.040975954048059225,0.2007393065363882,0.18034918324398116,0.020390123292407015,0.6790123456790124,0.8024691358024691,bookmaker_better_mean_ci_crosses_zero
bookmaker_confidence_bucket,0.50-0.60,43,1.0169786654897792,0.967490998993565,0.04948766649621441,-0.03663301951731048,0.12698561930219598,False,0.6051320159106043,0.5725455979227608,0.03258641798784349,0.212138532004771,0.1957052733953371,0.016433258609433826,0.5581395348837209,0.5813953488372093,bookmaker_better_mean_ci_crosses_zero
