test_year,class_label,feature_name,coefficient,intercept,tuning_source_years
2018,away_win,official_away_prob,0.8007947767041479,0.08323745055158623,2014
2018,away_win,official_draw_prob,0.06683162075325882,0.08323745055158623,2014
2018,away_win,official_home_prob,-0.8668757404086577,0.08323745055158623,2014
2018,away_win,bookmaker_away_prob,0.5511933350300993,0.08323745055158623,2014
2018,away_win,bookmaker_draw_prob,0.04620057641284536,0.08323745055158623,2014
2018,away_win,bookmaker_home_prob,-0.5966432543941945,0.08323745055158623,2014
2018,away_win,prob_diff_away,0.24960144167404938,0.08323745055158623,2014
2018,away_win,prob_diff_draw,0.02063104434041347,0.08323745055158623,2014
2018,away_win,prob_diff_home,-0.27023248601446315,0.08323745055158623,2014
2018,away_win,official_confidence,0.2189910663715768,0.08323745055158623,2014
2018,away_win,bookmaker_confidence,0.015533953050709006,0.08323745055158623,2014
2018,draw,official_away_prob,-0.40217544241644176,-0.41244062391621905,2014
2018,draw,official_draw_prob,0.026847032708170168,-0.41244062391621905,2014
2018,draw,official_home_prob,0.3752378916205523,-0.41244062391621905,2014
2018,draw,bookmaker_away_prob,0.1767261403693367,-0.41244062391621905,2014
2018,draw,bookmaker_draw_prob,-0.0618379714995439,-0.41244062391621905,2014
2018,draw,bookmaker_home_prob,-0.11497868695751115,-0.41244062391621905,2014
2018,draw,prob_diff_away,-0.5789015827857782,-0.41244062391621905,2014
2018,draw,prob_diff_draw,0.08868500420771411,-0.41244062391621905,2014
2018,draw,prob_diff_home,0.4902165785780636,-0.41244062391621905,2014
2018,draw,official_confidence,-0.11142714114283954,-0.41244062391621905,2014
2018,draw,bookmaker_confidence,0.12462436082660996,-0.41244062391621905,2014
2018,home_win,official_away_prob,-0.39861933428770674,0.32920317336463584,2014
2018,home_win,official_draw_prob,-0.09367865346142833,0.32920317336463584,2014
2018,home_win,official_home_prob,0.491637848788105,0.32920317336463584,2014
2018,home_win,bookmaker_away_prob,-0.7279194753994357,0.32920317336463584,2014
2018,home_win,bookmaker_draw_prob,0.015637395086698754,0.32920317336463584,2014
2018,home_win,bookmaker_home_prob,0.7116219413517058,0.32920317336463584,2014
2018,home_win,prob_diff_away,0.32930014111172856,0.32920317336463584,2014
2018,home_win,prob_diff_draw,-0.10931604854812756,0.32920317336463584,2014
2018,home_win,prob_diff_home,-0.2199840925636005,0.32920317336463584,2014
2018,home_win,official_confidence,-0.10756392522873716,0.32920317336463584,2014
2018,home_win,bookmaker_confidence,-0.14015831387731936,0.32920317336463584,2014
2022,away_win,official_away_prob,0.6390349379739957,0.42586189977065003,"2014,2018"
2022,away_win,official_draw_prob,0.3357512740265652,0.42586189977065003,"2014,2018"
2022,away_win,official_home_prob,-0.97252506265122,0.42586189977065003,"2014,2018"
2022,away_win,bookmaker_away_prob,0.6945129117590164,0.42586189977065003,"2014,2018"
2022,away_win,bookmaker_draw_prob,0.08920918359362519,0.42586189977065003,"2014,2018"
2022,away_win,bookmaker_home_prob,-0.7814609460033014,0.42586189977065003,"2014,2018"
2022,away_win,prob_diff_away,-0.05547797378502198,0.42586189977065003,"2014,2018"
2022,away_win,prob_diff_draw,0.24654209043293995,0.42586189977065003,"2014,2018"
2022,away_win,prob_diff_home,-0.19106411664791864,0.42586189977065003,"2014,2018"
2022,away_win,official_confidence,-0.08639042262008813,0.42586189977065003,"2014,2018"
2022,away_win,bookmaker_confidence,-0.18381585596500127,0.42586189977065003,"2014,2018"
2022,draw,official_away_prob,-0.3357505018087322,-0.5176295773272829,"2014,2018"
2022,draw,official_draw_prob,-0.02155730321941593,-0.5176295773272829,"2014,2018"
2022,draw,official_home_prob,0.35283511083720276,-0.5176295773272829,"2014,2018"
2022,draw,bookmaker_away_prob,0.041347896254499375,-0.5176295773272829,"2014,2018"
2022,draw,bookmaker_draw_prob,0.06322016568270455,-0.5176295773272829,"2014,2018"
2022,draw,bookmaker_home_prob,-0.1090407561281491,-0.5176295773272829,"2014,2018"
2022,draw,prob_diff_away,-0.37709839806323153,-0.5176295773272829,"2014,2018"
2022,draw,prob_diff_draw,-0.0847774689021206,-0.5176295773272829,"2014,2018"
2022,draw,prob_diff_home,0.46187586696535143,-0.5176295773272829,"2014,2018"
2022,draw,official_confidence,0.07982365075457526,-0.5176295773272829,"2014,2018"
2022,draw,bookmaker_confidence,0.16144917206524384,-0.5176295773272829,"2014,2018"
2022,home_win,official_away_prob,-0.30328443616526224,0.09176767755663591,"2014,2018"
2022,home_win,official_draw_prob,-0.3141939708071491,0.09176767755663591,"2014,2018"
2022,home_win,official_home_prob,0.6196899518140161,0.09176767755663591,"2014,2018"
2022,home_win,bookmaker_away_prob,-0.7358608080135156,0.09176767755663591,"2014,2018"
2022,home_win,bookmaker_draw_prob,-0.15242934927632976,0.09176767755663591,"2014,2018"
2022,home_win,bookmaker_home_prob,0.8905017021314501,0.09176767755663591,"2014,2018"
2022,home_win,prob_diff_away,0.4325763718482534,0.09176767755663591,"2014,2018"
2022,home_win,prob_diff_draw,-0.16176462153081944,0.09176767755663591,"2014,2018"
2022,home_win,prob_diff_home,-0.27081175031743326,0.09176767755663591,"2014,2018"
2022,home_win,official_confidence,0.0065667718655128965,0.09176767755663591,"2014,2018"
2022,home_win,bookmaker_confidence,0.022366683899757645,0.09176767755663591,"2014,2018"
