segment_name,segment_value,n_matches,official_log_loss,bookmaker_log_loss,mean_log_loss_delta,ci_lower,ci_upper,statistically_meaningful,official_brier,bookmaker_brier,brier_delta,official_rps,bookmaker_rps,rps_delta,official_accuracy,bookmaker_accuracy,interpretation
actual_result_type,away,67,0.9979155615358579,0.9850824179193797,0.012833143616478197,-0.05724133690819634,0.0901386255297397,False,0.5795857765606546,0.5658731193099971,0.01371265725065763,0.2551345358681991,0.24771633113268043,0.007418204735518691,0.582089552238806,0.582089552238806,bookmaker_better_mean_ci_crosses_zero
actual_result_type,home,81,0.8172293677373558,0.7676345475559097,0.049594820181446155,-0.009705833219701405,0.10453927818058344,False,0.4623144547147472,0.421338500666688,0.040975954048059225,0.2007393065363882,0.18034918324398116,0.020390123292407015,0.6790123456790124,0.8024691358024691,bookmaker_better_mean_ci_crosses_zero
actual_result_type,draw,40,1.3992480752553933,1.3379223202651873,0.06132575499020583,-0.012959428786472339,0.1326047439445984,False,0.8928257672280147,0.8764747271931373,0.016351040034877258,0.16572989105631736,0.1679923662327465,-0.0022624751764291507,0.05,0.0,bookmaker_better_mean_ci_crosses_zero
away_team,Egypt,2,0.6782520798955642,1.1951019653203732,-0.5168498854248088,,,False,0.3691923040594497,0.7089175628861974,-0.33972525882674764,0.16241263181994603,0.31720502678920853,-0.1547923949692625,1.0,0.5,low_sample_size_official_better_mean
away_team,Cameroon,2,0.4963829431578941,0.7318008591218141,-0.23541791596392006,,,False,0.23284121596312585,0.4063766134879352,-0.1735353975248093,0.09246068204462685,0.16014627795094336,-0.06768559590631651,1.0,1.0,low_sample_size_official_better_mean
away_team,Japan,4,1.095276258964677,1.2722762180220073,-0.17699995905733057,,,False,0.6600143318710391,0.757080325565414,-0.09706599369437499,0.30508486940329776,0.3474154812651211,-0.042330611861823374,0.25,0.5,low_sample_size_official_better_mean
away_team,Netherlands,4,0.7840659947932171,0.9227979984048803,-0.1387320036116632,,,False,0.44133243358153923,0.5324727923444351,-0.09114035876289589,0.18893835245407187,0.23587596232153707,-0.0469376098674652,0.5,0.5,low_sample_size_official_better_mean
away_team,Ivory Coast,2,0.957295490671076,1.0778241621313385,-0.12052867146026247,,,False,0.5642101280150833,0.6477017590804066,-0.0834916310653232,0.25411916310552257,0.2869342167753942,-0.03281505366987165,0.5,0.5,low_sample_size_official_better_mean
away_team,Chile,3,1.3232058565983371,1.43524668783724,-0.112040831238903,,,False,0.8240707716425438,0.9184851721044373,-0.09441440046189338,0.2725441807412719,0.3365580213782826,-0.06401384063701063,0.3333333333333333,0.0,low_sample_size_official_better_mean
away_team,Denmark,4,1.1377198510629385,1.200831705085696,-0.06311185402275743,,,False,0.7071161237657845,0.7202402078797985,-0.013124084114013904,0.28051406394538625,0.2722958553681397,0.00821820857724647,0.25,0.5,low_sample_size_official_better_mean
away_team,Uruguay,5,0.6649569713386037,0.726533211540959,-0.06157624020235512,,,False,0.3582031731069357,0.4023228107215607,-0.044119637614624896,0.15196667538789987,0.16471518539029387,-0.012748510002393965,1.0,0.8,low_sample_size_official_better_mean
away_team,Belgium,6,0.9906309566012149,1.048923364784338,-0.05829240818312283,,,False,0.585978443948617,0.6257762318497497,-0.03979778790113279,0.21470602746401765,0.23292371187268449,-0.01821768440866683,0.6666666666666666,0.5,low_sample_size_official_better_mean
away_team,Switzerland,8,0.8224933643872518,0.8775275519762615,-0.05503418758900971,,,False,0.47878367650000275,0.5191839681339128,-0.04040029163391005,0.17282206797167898,0.18943733439562,-0.016615266423941018,0.75,0.5,low_sample_size_official_better_mean
away_team,Iceland,2,1.3641744160400477,1.410845516687866,-0.04667110064781832,,,False,0.8846793381972491,0.9453334503420143,-0.06065411214476518,0.2830065202762942,0.28068391621251043,0.002322604063783776,0.0,0.0,low_sample_size_official_better_mean
away_team,Colombia,4,0.653916620710411,0.6997849077122806,-0.045868287001869706,,,False,0.34705987408323585,0.380936126546183,-0.033876252462947135,0.14236364112693625,0.15562354623747462,-0.013259905110538355,1.0,1.0,low_sample_size_official_better_mean
away_team,Costa Rica,7,1.3062155824111847,1.3444999839108405,-0.03828440149965563,,,False,0.7932487894227043,0.8170105671649693,-0.023761777742265212,0.2832179239909989,0.3138630095206486,-0.030645085529649705,0.2857142857142857,0.2857142857142857,low_sample_size_official_better_mean
