date,tournament_year,stage,home_team,away_team,actual_result,official_home_prob,official_draw_prob,official_away_prob,bookmaker_home_prob,bookmaker_draw_prob,bookmaker_away_prob,official_log_loss,bookmaker_log_loss,log_loss_delta,possible_failure_reason
2022-11-28,2022,group_stage,South Korea,Ghana,away_win,0.6770517265036394,0.2130193604301292,0.1099289130662313,0.3512196922168505,0.308890283057165,0.3398900247259844,2.207921366948376,1.079133170383609,1.128788196564767,official assigned much lower probability to actual outcome
2018-06-17,2018,group_stage,Costa Rica,Serbia,away_win,0.3284921676610932,0.4049086104441077,0.2665992218947991,0.1841321418900622,0.2864879501760086,0.529379907933929,1.3220087898659474,0.6360489424330968,0.6859598474328505,bookmaker selected actual outcome while official selected draw
2022-11-25,2022,group_stage,Qatar,Senegal,away_win,0.4211512861457679,0.294002431812423,0.2848462820418091,0.1744471744471744,0.2673218673218673,0.5582309582309583,1.2558056054779023,0.5829824985955987,0.6728231068823036,bookmaker selected actual outcome while official selected home_win
2022-12-02,2022,group_stage,Cameroon,Brazil,home_win,0.0567979319279183,0.0666667123585368,0.8765353557135448,0.1057776442878662,0.1824103885118309,0.7118119672003028,2.8682553636376293,2.246416083512245,0.6218392801253843,official overconfident wrong-side prediction
2022-11-30,2022,group_stage,Tunisia,France,home_win,0.0937900113307847,0.2112788672170277,0.6949311214521876,0.1623340363988578,0.2488269744276455,0.5888389891734966,2.36669691765114,1.818099113577912,0.548597804073228,official overconfident wrong-side prediction
2018-07-10,2018,semifinal,France,Belgium,home_win,0.224203623946408,0.2600469755759502,0.5157494004776417,0.3724267269740082,0.3081741926078853,0.3193990804181064,1.4952006045745871,0.9877149666217524,0.5074856379528347,bookmaker selected actual outcome while official selected away_win
2014-07-01,2014,round_of_16,Belgium,United States,home_win,0.2922015872640411,0.2909501656191063,0.4168482471168524,0.4788076582216158,0.2841588476092675,0.2370334941691167,1.2303113475651613,0.7364563108113279,0.49385503675383335,bookmaker selected actual outcome while official selected away_win
2022-12-18,2022,final,Argentina,France,draw,0.3139102934920658,0.1865596049646834,0.4995301015432506,0.3611405467973068,0.3044229609220886,0.3344364922806045,1.679004493292859,1.1893372257404673,0.48966726755239165,official underweighted draw
2018-06-26,2018,group_stage,Denmark,France,draw,0.2212271724796735,0.2152565082429704,0.563516319277356,0.1841845412905404,0.3491555872666,0.4666598714428596,1.5359249003916875,1.0522376473361033,0.48368725305558424,official underweighted draw
2018-06-15,2018,group_stage,Portugal,Spain,draw,0.1529894691748155,0.1907679793219201,0.6562425515032644,0.2253650629324906,0.2972606658311992,0.4773742712363102,1.6566973573122268,1.213145862368858,0.44355149494336876,official underweighted draw
2018-06-16,2018,group_stage,Peru,Denmark,away_win,0.3995577359875993,0.32940438540348,0.2710378786089207,0.2642697677518243,0.3147290437950529,0.4210011884531227,1.305496694405185,0.8651196223747075,0.4403770720304774,bookmaker selected actual outcome while official selected home_win
2022-11-29,2022,group_stage,Ecuador,Senegal,away_win,0.600274843808459,0.2076758577059772,0.1920492984855638,0.3879086053316258,0.3144508295711519,0.2976405650972223,1.6500031769666743,1.2118686778618728,0.4381344991048015,official overconfident wrong-side prediction
2018-06-14,2018,group_stage,Russia,Saudi Arabia,home_win,0.4323122839002194,0.4413435574042704,0.1263441586955102,0.665938532579392,0.2250625596217389,0.1089989077988691,0.8386070724908368,0.4065579061253845,0.43204916636545226,bookmaker selected actual outcome while official selected draw
2022-12-01,2022,group_stage,Costa Rica,Germany,away_win,0.2376665986203029,0.1931761164060992,0.5691572849735979,0.0389298830823141,0.0896121836989117,0.8714579332187742,0.5635984595500568,0.1375876845860633,0.42601077496399353,official assigned much lower probability to actual outcome
2018-06-21,2018,group_stage,Denmark,Australia,draw,0.5979045994018364,0.1896162863805803,0.2124791142175832,0.5058199838653913,0.2839691137489916,0.2102109023856171,1.662752794218539,1.258889801140079,0.40386299307845985,official underweighted draw
2022-11-27,2022,group_stage,Croatia,Canada,home_win,0.2909522562302177,0.2612299803970757,0.4478177633727065,0.4319429938993606,0.2942026583834655,0.2738543477171739,1.234596093208657,0.8394616580116193,0.3951344351970377,bookmaker selected actual outcome while official selected away_win
2014-06-25,2014,group_stage,Bosnia and Herzegovina,Iran,home_win,0.2996663860152582,0.2796384132365452,0.4206952007481966,0.4397589909434018,0.2723507387092659,0.2878902703473321,1.2050854697243658,0.8215284499943941,0.3835570197299717,bookmaker selected actual outcome while official selected away_win
2022-11-27,2022,group_stage,Belgium,Morocco,away_win,0.6913004624930358,0.1610215415791371,0.1476779959278271,0.5031451895798355,0.2823620765403255,0.2144927338798391,1.912721078689208,1.5394794158738905,0.37324166281531745,official overconfident wrong-side prediction
2022-12-02,2022,group_stage,South Korea,Portugal,home_win,0.1581105559377789,0.1945704785808987,0.6473189654813223,0.2234849108345047,0.2546409841948111,0.5218741049706842,1.844460769520677,1.498411380252343,0.34604938926833384,official overconfident wrong-side prediction
2022-11-27,2022,group_stage,Spain,Germany,draw,0.5815162620625852,0.1997622211812701,0.2187215167561447,0.3794055167530336,0.2806253822137822,0.3399691010331842,1.6106275138229875,1.2707346584775223,0.3398928553454652,official underweighted draw
2018-06-21,2018,group_stage,France,Peru,home_win,0.4279249774996448,0.4286482246370112,0.1434267978633439,0.5994932095777695,0.2529111977906216,0.1475955926316089,0.8488073849805476,0.5116706313881089,0.3371367535924388,bookmaker selected actual outcome while official selected draw
2014-06-15,2014,group_stage,Switzerland,Ecuador,home_win,0.2849327033337402,0.2836186784859824,0.4314486181802773,0.397703387918443,0.2973483274156583,0.3049482846658988,1.2555022552497894,0.9220488080256894,0.3334534472241,bookmaker selected actual outcome while official selected away_win
2018-07-15,2018,final,France,Croatia,home_win,0.3292624039684587,0.3729637756595772,0.297773820371964,0.4540143814591764,0.3129613697437042,0.2330242487971194,1.1109002656637892,0.7896264042196462,0.32127386144414294,bookmaker selected actual outcome while official selected draw
2014-07-05,2014,quarterfinal,Netherlands,Costa Rica,draw,0.69187033643864,0.1700912763918837,0.1380383871694762,0.630007302487451,0.2329954014065512,0.1369972961059979,1.7714200660695616,1.4567365620637729,0.3146835040057887,official underweighted draw
2018-06-22,2018,group_stage,Nigeria,Iceland,home_win,0.2396558139655439,0.3289421936936627,0.4314019923407934,0.3256994765914633,0.3161512834666322,0.3581492399419044,1.4285514934348278,1.1217801737277575,0.3067713197070703,favorite failed or upset pattern
2018-06-16,2018,group_stage,France,Australia,home_win,0.5711777144122251,0.2992727268232815,0.1295495587644934,0.7697486115353209,0.1387529686029333,0.0914984198617457,0.5600548841026424,0.2616912959656808,0.29836358813696157,official assigned much lower probability to actual outcome
2014-06-29,2014,round_of_16,Costa Rica,Greece,draw,0.3791787833262283,0.2309440618569048,0.3898771548168668,0.3595986923683913,0.3105625070454289,0.3298388005861797,1.4655797542485698,1.169370086933572,0.29620966731499787,official underweighted draw
2014-07-09,2014,semifinal,Netherlands,Argentina,draw,0.3705754821255996,0.2247152998920576,0.4047092179823427,0.3155591431035984,0.300720938882426,0.3837199180139756,1.4929210118015608,1.2015725576160776,0.29134845418548316,official underweighted draw
2014-06-17,2014,group_stage,Belgium,Algeria,home_win,0.5374374162392591,0.2706717131532232,0.1918908706075177,0.7162344944966382,0.1867226114057383,0.0970428940976233,0.6209429606630927,0.3337476593597455,0.28719530130334725,official assigned much lower probability to actual outcome
2022-11-21,2022,group_stage,United States,Wales,draw,0.4577512940621088,0.2332313084165193,0.3090173975213718,0.3909162847307301,0.3094223361223694,0.2996613791469003,1.4557245778718306,1.1730481517152898,0.28267642615654087,official underweighted draw
2022-11-23,2022,group_stage,Spain,Costa Rica,home_win,0.6301299338248371,0.2788104530208944,0.0910596131542685,0.8316893722650858,0.1138206343796155,0.0544899933552987,0.4618292366955548,0.1842962585165575,0.2775329781789973,official assigned much lower probability to actual outcome
2022-12-14,2022,semifinal,France,Morocco,home_win,0.4586266545602936,0.2550951542857765,0.2862781911539299,0.6000914903884823,0.2482053808413094,0.1517031287702083,0.7795187886592467,0.5106731514096874,0.26884563724955934,official less calibrated than market on actual outcome
2014-06-14,2014,group_stage,England,Italy,away_win,0.4682180594121032,0.3041100655340052,0.2276718750538914,0.3821819635218184,0.3208283372708241,0.2969896992073573,1.4798498310912478,1.2140578235844104,0.2657920075068374,favorite failed or upset pattern
2018-06-19,2018,group_stage,Poland,Senegal,away_win,0.4884761960364127,0.2870542755345762,0.2244695284290109,0.3914192230295397,0.3161953332616476,0.2923854437088127,1.4940153118405497,1.229682334463288,0.2643329773772618,favorite failed or upset pattern
2014-06-25,2014,group_stage,Honduras,Switzerland,away_win,0.2539200886802021,0.2478493873483201,0.4982305239714777,0.1385612958313255,0.2179191288983573,0.6435195752703171,0.6966924095213054,0.4408028324081415,0.2558895771131639,official less calibrated than market on actual outcome
2018-06-28,2018,group_stage,Panama,Tunisia,away_win,0.2483287076140521,0.3518218480907871,0.3998494442951607,0.2236111199688773,0.2601802307412675,0.5162086492898551,0.9166671919884708,0.6612442361428122,0.25542295584565855,official less calibrated than market on actual outcome
2014-06-22,2014,group_stage,Belgium,Russia,home_win,0.3352324723925876,0.267218419396072,0.3975491082113405,0.4325280871052662,0.2887876351971716,0.2786842776975621,1.0929310403867003,0.8381080134349445,0.25482302695175585,bookmaker selected actual outcome while official selected away_win
2018-06-26,2018,group_stage,Nigeria,Argentina,away_win,0.1663052323985974,0.3316676500536848,0.5020271175477178,0.1642088583331203,0.1888082398343854,0.6469829018324942,0.6891011417300245,0.4354354116735626,0.25366573005646187,official less calibrated than market on actual outcome
2018-06-23,2018,group_stage,South Korea,Mexico,away_win,0.1594576792647402,0.3941620414950248,0.446380279240235,0.1752246573137691,0.2550390300168996,0.5697363126693312,0.8065840462201055,0.5625816345423099,0.24400241167779557,official less calibrated than market on actual outcome
2018-06-20,2018,group_stage,Iran,Spain,away_win,0.1971586010581107,0.1698724348332347,0.6329689641086546,0.0511416447389337,0.143694444288597,0.8051639109724692,0.4573338878841106,0.2167094061756525,0.2406244817084581,official assigned much lower probability to actual outcome
2014-06-21,2014,group_stage,Germany,Ghana,draw,0.6832291775380656,0.1377535942136567,0.1790172282482777,0.7194056058600763,0.1742822323850458,0.1063121617548779,1.9822887389943624,1.747079268628303,0.23520947036605944,official underweighted draw
2022-11-23,2022,group_stage,Morocco,Croatia,draw,0.2468191810494514,0.2335684125024346,0.5196124064481139,0.2758708917093745,0.2947192135031827,0.4294098947874427,1.454280257623081,1.2217321945425927,0.23254806308048837,official underweighted draw
2022-11-30,2022,group_stage,Saudi Arabia,Mexico,away_win,0.2992037050585375,0.2245245687313281,0.4762717262101343,0.1759786950732356,0.2300932090545938,0.5939280958721704,0.7417667342428919,0.5209970176669735,0.22076971657591837,official less calibrated than market on actual outcome
2014-06-21,2014,group_stage,Argentina,Iran,home_win,0.6760684226380976,0.1759055435672127,0.1480260337946896,0.8394975270276186,0.1139318072394625,0.0465706657329189,0.3914609911409968,0.1749517482370535,0.2165092429039433,official assigned much lower probability to actual outcome
2022-11-29,2022,group_stage,Iran,United States,away_win,0.3429928481879874,0.2605365814789273,0.3964705703330853,0.2349514289041245,0.2744505097053976,0.4905980613904777,0.9251534642859406,0.7121300986729384,0.21302336561300217,official less calibrated than market on actual outcome
2014-06-25,2014,group_stage,Nigeria,Argentina,away_win,0.1594754471812177,0.2988079910560625,0.5417165617627199,0.1021583567912622,0.2284543682897677,0.6693872749189701,0.6130123631051622,0.4013925000674463,0.21161986303771585,official less calibrated than market on actual outcome
2018-06-18,2018,group_stage,Tunisia,England,away_win,0.1531183999776109,0.3130715971727636,0.5338100028496255,0.114483942151691,0.2303275510747798,0.6551885067735291,0.6277153032408154,0.422832288151575,0.2048830150892404,official less calibrated than market on actual outcome
2014-06-15,2014,group_stage,Argentina,Bosnia and Herzegovina,home_win,0.6031821719361654,0.2758580568805064,0.1209597711833281,0.7333845147129291,0.1727938335025067,0.0938216517845641,0.5055360185339164,0.310085137948885,0.1954508805850314,official less calibrated than market on actual outcome
2022-11-28,2022,group_stage,Cameroon,Serbia,draw,0.2568203920354172,0.2093597249135176,0.5338198830510652,0.1836469522302921,0.2545455075149089,0.561807540254799,1.563701334701129,1.368275647522949,0.1954256871781801,official underweighted draw
2022-12-03,2022,round_of_16,Netherlands,United States,home_win,0.4105516327713448,0.2667684889433883,0.3226798782852669,0.4979908625529807,0.2849947707381516,0.2170143667088677,0.8902535778011597,0.6971735504130033,0.19308002738815633,official less calibrated than market on actual outcome
