model_name,test_year,bucket,mean_confidence,empirical_accuracy,count,calibration_gap
bookmaker_raw_implied,2018,"(0.4,0.5]",0.45329813117972945,0.4117647058823529,17,-0.041533425297376525
bookmaker_raw_implied,2018,"(0.5,0.6]",0.5448258216117182,0.75,12,0.20517417838828178
bookmaker_raw_implied,2018,"(0.6,0.7]",0.6487746969114886,0.6666666666666666,12,0.01789196975517804
bookmaker_raw_implied,2018,"(0.7,0.8]",0.7543544502600286,0.6666666666666666,6,-0.08768778359336193
bookmaker_raw_implied,2018,"(0.8,0.9]",0.8103967524967475,0.75,4,-0.060396752496747474
bookmaker_raw_implied,2018,"(0.9,1.0]",,,0,
bookmaker_raw_implied,2022,"(0.0,0.1]",,,0,
bookmaker_raw_implied,2022,"(0.1,0.2]",,,0,
bookmaker_raw_implied,2022,"(0.2,0.3]",,,0,
bookmaker_raw_implied,2022,"(0.3,0.4]",0.3758361114197435,0.1111111111111111,9,-0.2647250003086324
bookmaker_raw_implied,2022,"(0.4,0.5]",0.4569835321864453,0.6153846153846154,13,0.15840108319817015
bookmaker_raw_implied,2022,"(0.5,0.6]",0.5531729485215282,0.5294117647058824,17,-0.023761183815645848
bookmaker_raw_implied,2022,"(0.6,0.7]",0.6517458412532233,0.5625,16,-0.08924584125322332
bookmaker_raw_implied,2022,"(0.7,0.8]",0.7528191853049142,0.8,5,0.04718081469508584
bookmaker_raw_implied,2022,"(0.8,0.9]",0.8536483168656788,0.6666666666666666,3,-0.18698165019901214
bookmaker_raw_implied,2022,"(0.9,1.0]",,,0,
elo_only,2014,"(0.0,0.1]",,,0,
elo_only,2014,"(0.1,0.2]",,,0,
elo_only,2014,"(0.2,0.3]",,,0,
elo_only,2014,"(0.3,0.4]",0.37747835475194097,0.5333333333333333,15,0.15585497858139236
elo_only,2014,"(0.4,0.5]",0.44677584206092985,0.5833333333333334,24,0.13655749127240352
elo_only,2014,"(0.5,0.6]",0.554368760482128,0.8333333333333334,6,0.27896457285120535
elo_only,2014,"(0.6,0.7]",0.6467377610857525,0.5714285714285714,14,-0.07530918965718114
elo_only,2014,"(0.7,0.8]",0.7415546709639407,0.5,4,-0.24155467096394068
elo_only,2014,"(0.8,0.9]",0.8028939806861465,1.0,1,0.19710601931385352
elo_only,2014,"(0.9,1.0]",,,0,
elo_only,2018,"(0.0,0.1]",,,0,
elo_only,2018,"(0.1,0.2]",,,0,
elo_only,2018,"(0.2,0.3]",,,0,
elo_only,2018,"(0.3,0.4]",0.38207305975711625,0.7,10,0.3179269402428837
elo_only,2018,"(0.4,0.5]",0.44222971396423155,0.44,25,-0.00222971396423155
elo_only,2018,"(0.5,0.6]",0.5415425624149726,0.45454545454545453,11,-0.08699710786951803
elo_only,2018,"(0.6,0.7]",0.645810965905617,0.6,15,-0.04581096590561706
elo_only,2018,"(0.7,0.8]",0.7504424379176097,0.6666666666666666,3,-0.08377577125094304
elo_only,2018,"(0.8,0.9]",,,0,
elo_only,2018,"(0.9,1.0]",,,0,
elo_only,2022,"(0.0,0.1]",,,0,
elo_only,2022,"(0.1,0.2]",,,0,
elo_only,2022,"(0.2,0.3]",,,0,
elo_only,2022,"(0.3,0.4]",0.38475239649911686,0.36363636363636365,11,-0.02111603286275321
elo_only,2022,"(0.4,0.5]",0.45208333190902517,0.3157894736842105,19,-0.13629385822481466
elo_only,2022,"(0.5,0.6]",0.5535807810399936,0.6875,16,0.13391921896000636
