actual_result,n_matches,official_log_loss,bookmaker_log_loss,delta_log_loss,official_brier,bookmaker_brier,delta_brier,official_rps,bookmaker_rps,delta_rps,official_accuracy,bookmaker_accuracy,winner_by_log_loss
away_win,67,0.9979155615358577,0.9850824179193797,0.012833143616478197,0.5795857765606546,0.565873119309997,0.013712657250657626,0.2551345358681991,0.24771633113268043,0.007418204735518691,0.582089552238806,0.582089552238806,bookmaker_odds_only
draw,40,1.3992480752553933,1.3379223202651875,0.06132575499020583,0.8928257672280147,0.8764747271931373,0.016351040034877258,0.16572989105631736,0.16799236623274652,-0.0022624751764291507,0.05,0.0,bookmaker_odds_only
home_win,81,0.8172293677373558,0.7676345475559098,0.049594820181446155,0.4623144547147472,0.421338500666688,0.040975954048059225,0.2007393065363882,0.18034918324398116,0.020390123292407015,0.6790123456790124,0.8024691358024691,bookmaker_odds_only
