model_name,test_year,parameter,value,tuning_source_years,tuning_log_loss,selected_value,selected,notes,bucket_n,bucket_mean_confidence,bucket_empirical_accuracy
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.40-0.50,0.9,"2014,2018",1.176881232979454,0.55,False,bucket gamma selected using prior tournament rows only,47.0,0.436379370674921,0.2553191489361702
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.40-0.50,0.95,"2014,2018",1.1836381134427565,0.55,False,bucket gamma selected using prior tournament rows only,47.0,0.436379370674921,0.2553191489361702
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.40-0.50,1.0,"2014,2018",1.190617744062447,0.55,False,bucket gamma selected using prior tournament rows only,47.0,0.436379370674921,0.2553191489361702
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.50-0.60,1.0,"2014,2018",0.9536990337267497,1.35,False,bucket gamma selected using prior tournament rows only,35.0,0.4636011858132714,0.5714285714285714
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.50-0.60,1.05,"2014,2018",0.951083341675371,1.35,False,bucket gamma selected using prior tournament rows only,35.0,0.4636011858132714,0.5714285714285714
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.50-0.60,1.1,"2014,2018",0.9488108856052744,1.35,False,bucket gamma selected using prior tournament rows only,35.0,0.4636011858132714,0.5714285714285714
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.50-0.60,1.15,"2014,2018",0.9468696995043105,1.35,False,bucket gamma selected using prior tournament rows only,35.0,0.4636011858132714,0.5714285714285714
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.50-0.60,1.2,"2014,2018",0.94524814914654,1.35,False,bucket gamma selected using prior tournament rows only,35.0,0.4636011858132714,0.5714285714285714
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.50-0.60,1.25,"2014,2018",0.9439349380387796,1.35,False,bucket gamma selected using prior tournament rows only,35.0,0.4636011858132714,0.5714285714285714
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.50-0.60,1.3,"2014,2018",0.9429191110619002,1.35,False,bucket gamma selected using prior tournament rows only,35.0,0.4636011858132714,0.5714285714285714
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.50-0.60,1.35,"2014,2018",0.9421900560691102,1.35,True,bucket gamma selected using prior tournament rows only,35.0,0.4636011858132714,0.5714285714285714
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.60-0.70,1.0,"2014,2018",0.8828368247252601,1.25,False,bucket gamma selected using prior tournament rows only,19.0,0.5618046095518424,0.5789473684210527
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.60-0.70,1.05,"2014,2018",0.8801889656347649,1.25,False,bucket gamma selected using prior tournament rows only,19.0,0.5618046095518424,0.5789473684210527
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.60-0.70,1.1,"2014,2018",0.8781700952857455,1.25,False,bucket gamma selected using prior tournament rows only,19.0,0.5618046095518424,0.5789473684210527
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.60-0.70,1.15,"2014,2018",0.8767602133844455,1.25,False,bucket gamma selected using prior tournament rows only,19.0,0.5618046095518424,0.5789473684210527
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.60-0.70,1.2,"2014,2018",0.8759395777022932,1.25,False,bucket gamma selected using prior tournament rows only,19.0,0.5618046095518424,0.5789473684210527
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.60-0.70,1.25,"2014,2018",0.8756887395151761,1.25,True,bucket gamma selected using prior tournament rows only,19.0,0.5618046095518424,0.5789473684210527
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.60-0.70,1.3,"2014,2018",0.8759885749667639,1.25,False,bucket gamma selected using prior tournament rows only,19.0,0.5618046095518424,0.5789473684210527
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.60-0.70,1.35,"2014,2018",0.8768203125801564,1.25,False,bucket gamma selected using prior tournament rows only,19.0,0.5618046095518424,0.5789473684210527
official_model_draw_confidence_calibrated,2022,confidence_gamma:0.70-1.00,1.0,"2014,2018",,1.0,True,identity: insufficient rows/classes in bucket,,,
market_blend_draw_calibrated,2014,alpha,0.0,none,,0.0,True,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.05,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.1,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.15,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.2,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.25,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.3,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.35,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.4,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.45,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.5,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.55,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.6,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.65,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.7,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.75,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.8,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.85,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.9,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,0.95,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2014,alpha,1.0,none,,0.0,False,limited: no prior calibrated rows; safe default alpha=0.0,,,
market_blend_draw_calibrated,2018,alpha,0.0,2014,0.952306951042265,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.05,2014,0.9514693651494219,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.1,2014,0.9507416724016516,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.15,2014,0.9501228168950323,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.2,2014,0.9496119077398227,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.25,2014,0.9492082137001838,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.3,2014,0.9489111589395764,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.35,2014,0.9487203198068596,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.4,2014,0.9486354226160845,0.4,True,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.45,2014,0.9486563423895691,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.5,2014,0.9487831025496078,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.55,2014,0.9490158755595998,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.6,2014,0.9493549845309575,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.65,2014,0.9498009058283815,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.7,2014,0.9503542727234897,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.75,2014,0.9510158801659739,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.8,2014,0.9517866907631228,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.85,2014,0.9526678420835457,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.9,2014,0.9536606554303062,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,0.95,2014,0.9547666462637467,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2018,alpha,1.0,2014,0.9559875364967557,0.4,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.0,"2014,2018",0.9441981456812372,0.0,True,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.05,"2014,2018",0.9444278851313785,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.1,"2014,2018",0.944915633573298,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.15,"2014,2018",0.9456527002262701,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.2,"2014,2018",0.9466322103326675,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.25,"2014,2018",0.9478488551139493,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.3,"2014,2018",0.9492987050398433,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.35,"2014,2018",0.9509790717856419,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.4,"2014,2018",0.9528884088140128,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.45,"2014,2018",0.9550262437091095,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.5,"2014,2018",0.95739313771791,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.55,"2014,2018",0.9599906697444885,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.6,"2014,2018",0.9628214435231183,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.65,"2014,2018",0.9658891180360729,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.7,"2014,2018",0.969198462588835,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.75,"2014,2018",0.9727554394591658,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.8,"2014,2018",0.9765673188780312,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.85,"2014,2018",0.9806428335282503,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.9,"2014,2018",0.9849923831349148,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,0.95,"2014,2018",0.9896283046687838,0.0,False,alpha selected using prior tournament rows only,,,
market_blend_draw_calibrated,2022,alpha,1.0,"2014,2018",0.9945652311949299,0.0,False,alpha selected using prior tournament rows only,,,
