model_name,test_year,stage,bucket,mean_confidence,empirical_accuracy,count,calibration_gap
bookmaker_odds_only,all,group_stage,"(0.6,0.7]",0.6479361710721598,0.5806451612903226,31,-0.06729100978183722
bookmaker_odds_only,all,group_stage,"(0.7,0.8]",0.7443401589904137,0.6875,16,-0.056840158990413725
bookmaker_odds_only,all,group_stage,"(0.8,0.9]",0.8302536859514555,0.75,8,-0.08025368595145554
bookmaker_odds_only,all,group_stage,"(0.9,1.0]",,,0,
bookmaker_odds_only,all,quarterfinal,"(0.0,0.1]",,,0,
bookmaker_odds_only,all,quarterfinal,"(0.1,0.2]",,,0,
bookmaker_odds_only,all,quarterfinal,"(0.2,0.3]",,,0,
bookmaker_odds_only,all,quarterfinal,"(0.3,0.4]",0.349502036997604,1.0,2,0.6504979630023959
bookmaker_odds_only,all,quarterfinal,"(0.4,0.5]",0.46014257441114215,0.4,5,-0.060142574411142125
bookmaker_odds_only,all,quarterfinal,"(0.5,0.6]",0.5548712093133513,0.6666666666666666,3,0.11179545735331531
bookmaker_odds_only,all,quarterfinal,"(0.6,0.7]",0.6558093010738564,0.0,2,-0.6558093010738564
bookmaker_odds_only,all,quarterfinal,"(0.7,0.8]",,,0,
bookmaker_odds_only,all,quarterfinal,"(0.8,0.9]",,,0,
bookmaker_odds_only,all,quarterfinal,"(0.9,1.0]",,,0,
bookmaker_odds_only,all,round_of_16,"(0.0,0.1]",,,0,
bookmaker_odds_only,all,round_of_16,"(0.1,0.2]",,,0,
bookmaker_odds_only,all,round_of_16,"(0.2,0.3]",,,0,
bookmaker_odds_only,all,round_of_16,"(0.3,0.4]",0.37412409696303106,0.25,4,-0.12412409696303106
bookmaker_odds_only,all,round_of_16,"(0.4,0.5]",0.4706316190438077,0.625,8,0.15436838095619232
bookmaker_odds_only,all,round_of_16,"(0.5,0.6]",0.5917948693766234,0.5,2,-0.0917948693766234
bookmaker_odds_only,all,round_of_16,"(0.6,0.7]",0.6575487958359605,0.8333333333333334,6,0.17578453749737288
bookmaker_odds_only,all,round_of_16,"(0.7,0.8]",0.7545835641517566,1.0,3,0.24541643584824335
bookmaker_odds_only,all,round_of_16,"(0.8,0.9]",,,0,
bookmaker_odds_only,all,round_of_16,"(0.9,1.0]",,,0,
bookmaker_odds_only,all,semifinal,"(0.0,0.1]",,,0,
bookmaker_odds_only,all,semifinal,"(0.1,0.2]",,,0,
bookmaker_odds_only,all,semifinal,"(0.2,0.3]",,,0,
bookmaker_odds_only,all,semifinal,"(0.3,0.4]",0.37393743795277984,0.3333333333333333,3,-0.040604104619446524
bookmaker_odds_only,all,semifinal,"(0.4,0.5]",0.4510241054010738,0.5,2,0.048975894598926206
bookmaker_odds_only,all,semifinal,"(0.5,0.6]",,,0,
bookmaker_odds_only,all,semifinal,"(0.6,0.7]",0.6000914903884823,1.0,1,0.3999085096115177
bookmaker_odds_only,all,semifinal,"(0.7,0.8]",,,0,
bookmaker_odds_only,all,semifinal,"(0.8,0.9]",,,0,
bookmaker_odds_only,all,semifinal,"(0.9,1.0]",,,0,
bookmaker_odds_only,all,third_place,"(0.0,0.1]",,,0,
bookmaker_odds_only,all,third_place,"(0.1,0.2]",,,0,
bookmaker_odds_only,all,third_place,"(0.2,0.3]",,,0,
bookmaker_odds_only,all,third_place,"(0.3,0.4]",,,0,
bookmaker_odds_only,all,third_place,"(0.4,0.5]",0.43593302324093086,0.6666666666666666,3,0.23073364342573577
bookmaker_odds_only,all,third_place,"(0.5,0.6]",,,0,
bookmaker_odds_only,all,third_place,"(0.6,0.7]",,,0,
bookmaker_odds_only,all,third_place,"(0.7,0.8]",,,0,
bookmaker_odds_only,all,third_place,"(0.8,0.9]",,,0,
bookmaker_odds_only,all,third_place,"(0.9,1.0]",,,0,
bookmaker_raw_implied,all,final,"(0.0,0.1]",,,0,
bookmaker_raw_implied,all,final,"(0.1,0.2]",,,0,
bookmaker_raw_implied,all,final,"(0.2,0.3]",,,0,
bookmaker_raw_implied,all,final,"(0.3,0.4]",0.36114054679730684,0.0,1,-0.36114054679730684
bookmaker_raw_implied,all,final,"(0.4,0.5]",0.43195248865879277,1.0,2,0.5680475113412072
bookmaker_raw_implied,all,final,"(0.5,0.6]",,,0,
bookmaker_raw_implied,all,final,"(0.6,0.7]",,,0,
bookmaker_raw_implied,all,final,"(0.7,0.8]",,,0,
bookmaker_raw_implied,all,final,"(0.8,0.9]",,,0,
bookmaker_raw_implied,all,final,"(0.9,1.0]",,,0,
bookmaker_raw_implied,all,group_stage,"(0.0,0.1]",,,0,
bookmaker_raw_implied,all,group_stage,"(0.1,0.2]",,,0,
bookmaker_raw_implied,all,group_stage,"(0.2,0.3]",,,0,
bookmaker_raw_implied,all,group_stage,"(0.3,0.4]",0.37761316842581044,0.22727272727272727,22,-0.15034044115308318
bookmaker_raw_implied,all,group_stage,"(0.4,0.5]",0.4532870619432989,0.5384615384615384,26,0.08517447651823956
bookmaker_raw_implied,all,group_stage,"(0.5,0.6]",0.5436094667680869,0.5789473684210527,38,0.0353379016529658
bookmaker_raw_implied,all,group_stage,"(0.6,0.7]",0.6479361710721598,0.5806451612903226,31,-0.06729100978183722
bookmaker_raw_implied,all,group_stage,"(0.7,0.8]",0.7443401589904137,0.6875,16,-0.056840158990413725
bookmaker_raw_implied,all,group_stage,"(0.8,0.9]",0.8302536859514555,0.75,8,-0.08025368595145554
bookmaker_raw_implied,all,group_stage,"(0.9,1.0]",,,0,
bookmaker_raw_implied,all,quarterfinal,"(0.0,0.1]",,,0,
bookmaker_raw_implied,all,quarterfinal,"(0.1,0.2]",,,0,
bookmaker_raw_implied,all,quarterfinal,"(0.2,0.3]",,,0,
bookmaker_raw_implied,all,quarterfinal,"(0.3,0.4]",0.349502036997604,1.0,2,0.6504979630023959
bookmaker_raw_implied,all,quarterfinal,"(0.4,0.5]",0.46014257441114215,0.4,5,-0.060142574411142125
bookmaker_raw_implied,all,quarterfinal,"(0.5,0.6]",0.5548712093133513,0.6666666666666666,3,0.11179545735331531
bookmaker_raw_implied,all,quarterfinal,"(0.6,0.7]",0.6558093010738564,0.0,2,-0.6558093010738564
bookmaker_raw_implied,all,quarterfinal,"(0.7,0.8]",,,0,
bookmaker_raw_implied,all,quarterfinal,"(0.8,0.9]",,,0,
bookmaker_raw_implied,all,quarterfinal,"(0.9,1.0]",,,0,
bookmaker_raw_implied,all,round_of_16,"(0.0,0.1]",,,0,
bookmaker_raw_implied,all,round_of_16,"(0.1,0.2]",,,0,
bookmaker_raw_implied,all,round_of_16,"(0.2,0.3]",,,0,
bookmaker_raw_implied,all,round_of_16,"(0.3,0.4]",0.37412409696303106,0.25,4,-0.12412409696303106
bookmaker_raw_implied,all,round_of_16,"(0.4,0.5]",0.4706316190438077,0.625,8,0.15436838095619232
bookmaker_raw_implied,all,round_of_16,"(0.5,0.6]",0.5917948693766234,0.5,2,-0.0917948693766234
bookmaker_raw_implied,all,round_of_16,"(0.6,0.7]",0.6575487958359605,0.8333333333333334,6,0.17578453749737288
bookmaker_raw_implied,all,round_of_16,"(0.7,0.8]",0.7545835641517566,1.0,3,0.24541643584824335
bookmaker_raw_implied,all,round_of_16,"(0.8,0.9]",,,0,
bookmaker_raw_implied,all,round_of_16,"(0.9,1.0]",,,0,
bookmaker_raw_implied,all,semifinal,"(0.0,0.1]",,,0,
bookmaker_raw_implied,all,semifinal,"(0.1,0.2]",,,0,
bookmaker_raw_implied,all,semifinal,"(0.2,0.3]",,,0,
bookmaker_raw_implied,all,semifinal,"(0.3,0.4]",0.37393743795277984,0.3333333333333333,3,-0.040604104619446524
bookmaker_raw_implied,all,semifinal,"(0.4,0.5]",0.4510241054010738,0.5,2,0.048975894598926206
bookmaker_raw_implied,all,semifinal,"(0.5,0.6]",,,0,
bookmaker_raw_implied,all,semifinal,"(0.6,0.7]",0.6000914903884823,1.0,1,0.3999085096115177
bookmaker_raw_implied,all,semifinal,"(0.7,0.8]",,,0,
bookmaker_raw_implied,all,semifinal,"(0.8,0.9]",,,0,
bookmaker_raw_implied,all,semifinal,"(0.9,1.0]",,,0,
bookmaker_raw_implied,all,third_place,"(0.0,0.1]",,,0,
bookmaker_raw_implied,all,third_place,"(0.1,0.2]",,,0,
bookmaker_raw_implied,all,third_place,"(0.2,0.3]",,,0,
bookmaker_raw_implied,all,third_place,"(0.3,0.4]",,,0,
bookmaker_raw_implied,all,third_place,"(0.4,0.5]",0.43593302324093086,0.6666666666666666,3,0.23073364342573577
bookmaker_raw_implied,all,third_place,"(0.5,0.6]",,,0,
bookmaker_raw_implied,all,third_place,"(0.6,0.7]",,,0,
bookmaker_raw_implied,all,third_place,"(0.7,0.8]",,,0,
bookmaker_raw_implied,all,third_place,"(0.8,0.9]",,,0,
bookmaker_raw_implied,all,third_place,"(0.9,1.0]",,,0,
elo_only,all,final,"(0.0,0.1]",,,0,
elo_only,all,final,"(0.1,0.2]",,,0,
elo_only,all,final,"(0.2,0.3]",,,0,
elo_only,all,final,"(0.3,0.4]",,,0,
elo_only,all,final,"(0.4,0.5]",0.41035659347008147,0.5,2,0.08964340652991853
elo_only,all,final,"(0.5,0.6]",0.5865883854663461,1.0,1,0.41341161453365394
elo_only,all,final,"(0.6,0.7]",,,0,
elo_only,all,final,"(0.7,0.8]",,,0,
elo_only,all,final,"(0.8,0.9]",,,0,
elo_only,all,final,"(0.9,1.0]",,,0,
elo_only,all,group_stage,"(0.0,0.1]",,,0,
elo_only,all,group_stage,"(0.1,0.2]",,,0,
elo_only,all,group_stage,"(0.2,0.3]",,,0,
elo_only,all,group_stage,"(0.3,0.4]",0.38166356332594165,0.6071428571428571,28,0.22547929381691545
elo_only,all,group_stage,"(0.4,0.5]",0.45127864247868116,0.47058823529411764,51,0.019309592815436483
elo_only,all,group_stage,"(0.5,0.6]",0.5425520937297948,0.6363636363636364,22,0.0938115426338415
elo_only,all,group_stage,"(0.6,0.7]",0.6438434354025366,0.5357142857142857,28,-0.10812914968825094
elo_only,all,group_stage,"(0.7,0.8]",0.7480177577928334,0.6,15,-0.14801775779283344
elo_only,all,group_stage,"(0.8,0.9]",,,0,
elo_only,all,group_stage,"(0.9,1.0]",,,0,
elo_only,all,quarterfinal,"(0.0,0.1]",,,0,
elo_only,all,quarterfinal,"(0.1,0.2]",,,0,
elo_only,all,quarterfinal,"(0.2,0.3]",,,0,
elo_only,all,quarterfinal,"(0.3,0.4]",0.38086844095493094,0.6666666666666666,3,0.2857982257117357
elo_only,all,quarterfinal,"(0.4,0.5]",0.429565186082991,0.25,4,-0.179565186082991
elo_only,all,quarterfinal,"(0.5,0.6]",0.5956032424992516,0.0,2,-0.5956032424992516
elo_only,all,quarterfinal,"(0.6,0.7]",0.6498924175555708,0.6666666666666666,3,0.016774249111095818
elo_only,all,quarterfinal,"(0.7,0.8]",,,0,
elo_only,all,quarterfinal,"(0.8,0.9]",,,0,
elo_only,all,quarterfinal,"(0.9,1.0]",,,0,
elo_only,all,round_of_16,"(0.0,0.1]",,,0,
elo_only,all,round_of_16,"(0.1,0.2]",,,0,
elo_only,all,round_of_16,"(0.2,0.3]",,,0,
elo_only,all,round_of_16,"(0.3,0.4]",0.3707658839446186,0.0,3,-0.3707658839446186
