dataset,feature_group,file_exists,path,rows,date_min,date_max,unique_teams,unique_dates,worldcup_2026_team_coverage,historical_training_coverage,null_rate_before,null_rate_after,usable_columns,ablation_feature_set,ablation_baseline_feature_set,ablation_log_loss_delta,ablation_accuracy_delta,ablation_identical_to_previous,active,warning
fifa_rankings,fifa_rankings,True,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\external\fifa_rankings.csv,782,2010-05-26,2026-06-11,226,8,1.0,0.6506410256410257,,0.6797929839938228,12,v2_baseline_plus_fifa_rankings,v1_baseline,0.008145281145345185,-0.0036866359447004227,False,True,
world_football_elo,external_elo,True,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\external\world_football_elo.csv,242,2026-06-22,2026-06-22,242,1,1.0,0.7307692307692307,,0.9985242954628794,5,v3_plus_external_elo,v2_baseline_plus_fifa_rankings,0.0,0.0,True,True,only current snapshot data exists; historical coverage is limited
